name,pokedex_number,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles
Caterpie,10,1,Normal,Worm Pokémon,1,Bug,,0.3,2.9,195,45,30,35,20,20,45,255,70,Medium Fast,1,Bug,,50,15
Metapod,11,1,Normal,Cocoon Pokémon,1,Bug,,0.7,9.9,205,50,20,55,25,25,30,120,70,Medium Fast,1,Bug,,50,15
Butterfree,12,1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32,395,60,45,50,90,80,70,45,70,Medium Fast,1,Bug,,50,15
Weedle,13,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,195,40,35,30,20,20,50,255,70,Medium Fast,1,Bug,,50,15
Kakuna,14,1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10,205,45,25,50,25,25,35,120,70,Medium Fast,1,Bug,,50,15
Beedrill,15,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1,29.5,395,65,90,40,45,80,75,45,70,Medium Fast,1,Bug,,50,15
Mega Beedrill,15,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,495,65,150,40,15,80,145,45,70,Medium Fast,1,Bug,,50,15
Pidgey,16,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,251,40,45,40,35,35,56,255,70,Medium Slow,1,Flying,,50,15
Pidgeotto,17,1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30,349,63,60,55,50,50,71,120,70,Medium Slow,1,Flying,,50,15
Pidgeot,18,1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,479,83,80,75,70,70,101,45,70,Medium Slow,1,Flying,,50,15
Mega Pidgeot,18,1,Normal,Bird Pokémon,2,Normal,Flying,2.2,50.5,579,83,80,80,135,80,121,45,70,Medium Slow,1,Flying,,50,15
Rattata,19,1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,253,30,56,35,25,35,72,255,70,Medium Fast,1,Field,,50,15
Alolan Rattata,19,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,253,30,56,35,25,35,72,255,70,Medium Fast,1,Field,,50,15
Raticate,20,1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,413,55,81,60,50,70,97,127,70,Medium Fast,1,Field,,50,15
Alolan Raticate,20,1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,413,75,71,70,40,80,77,127,70,Medium Fast,1,Field,,50,15
Spearow,21,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2,262,40,60,30,31,31,70,255,70,Medium Fast,1,Flying,,50,15
Fearow,22,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38,442,65,90,65,61,61,100,90,70,Medium Fast,1,Flying,,50,15
Ekans,23,1,Normal,Snake Pokémon,1,Poison,,2,6.9,288,35,60,44,40,54,55,255,70,Medium Fast,2,Dragon,Field,50,20
Arbok,24,1,Normal,Cobra Pokémon,1,Poison,,3.5,65,448,60,95,69,65,79,80,90,70,Medium Fast,2,Dragon,Field,50,20
Pikachu,25,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,320,35,55,40,50,50,90,190,70,Medium Fast,2,Fairy,Field,50,10
Partner Pikachu,25,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,430,45,80,50,75,60,120,190,70,Medium Fast,0,,,50,10
Raichu,26,1,Normal,Mouse Pokémon,1,Electric,,0.8,30,485,60,90,55,90,80,110,75,70,Medium Fast,2,Fairy,Field,50,10
Alolan Raichu,26,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21,485,60,85,50,95,85,110,75,70,Medium Fast,2,Fairy,Field,50,10
Sandshrew,27,1,Normal,Mouse Pokémon,1,Ground,,0.6,12,300,50,75,85,20,30,40,255,70,Medium Fast,1,Field,,50,20
Alolan Sandshrew,27,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40,300,50,75,90,10,35,40,255,70,Medium Fast,1,Field,,50,20
Sandslash,28,1,Normal,Mouse Pokémon,1,Ground,,1,29.5,450,75,100,110,45,55,65,90,70,Medium Fast,1,Field,,50,20
Alolan Sandslash,28,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55,450,75,100,120,25,65,65,90,70,Medium Fast,1,Field,,50,20
Nidoran♀,29,1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7,275,55,47,52,40,40,41,235,70,Medium Slow,2,Field,Monster,0,20
Nidorina,30,1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20,365,70,62,67,55,55,56,120,70,Medium Slow,1,Undiscovered,,0,20
Nidoqueen,31,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60,505,90,92,87,75,85,76,45,70,Medium Slow,1,Undiscovered,,0,20
Nidoran♂,32,1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9,273,46,57,40,40,40,50,235,70,Medium Slow,2,Field,Monster,100,20
Nidorino,33,1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,365,61,72,57,55,55,65,120,70,Medium Slow,2,Field,Monster,100,20
Nidoking,34,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62,505,81,102,77,85,75,85,45,70,Medium Slow,2,Field,Monster,100,20
Clefairy,35,1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,323,70,45,48,60,65,35,150,140,Fast,1,Fairy,,25,10
Clefable,36,1,Normal,Fairy Pokémon,1,Fairy,,1.3,40,483,95,70,73,95,90,60,25,140,Fast,1,Fairy,,25,10
Vulpix,37,1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,299,38,41,40,50,65,65,190,70,Medium Fast,1,Field,,25,20
Alolan Vulpix,37,1,Normal,Fox Pokémon,1,Ice,,0.6,9.9,299,38,41,40,50,65,65,190,70,Medium Fast,1,Field,,25,20
Ninetales,38,1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,505,73,76,75,81,100,100,75,70,Medium Fast,1,Field,,25,20
Alolan Ninetales,38,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,505,73,67,75,81,100,109,75,70,Medium Fast,1,Field,,25,20
Jigglypuff,39,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,270,115,45,20,45,25,20,170,70,Fast,1,Fairy,,25,10
Wigglytuff,40,1,Normal,Balloon Pokémon,2,Normal,Fairy,1,12,435,140,70,45,85,50,45,50,70,Fast,1,Fairy,,25,10
Zubat,41,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,245,40,45,35,30,40,55,255,70,Medium Fast,1,Flying,,50,15
Golbat,42,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55,455,75,80,70,65,75,90,90,70,Medium Fast,1,Flying,,50,15
Oddish,43,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,320,45,50,55,75,65,30,255,70,Medium Slow,1,Grass,,50,20
Gloom,44,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,395,60,65,70,85,75,40,120,70,Medium Slow,1,Grass,,50,20
Vileplume,45,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,490,75,80,85,110,90,50,45,70,Medium Slow,1,Grass,,50,20
Paras,46,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,285,35,70,55,45,55,25,190,70,Medium Fast,2,Bug,Grass,50,20
Parasect,47,1,Normal,Mushroom Pokémon,2,Bug,Grass,1,29.5,405,60,95,80,60,80,30,75,70,Medium Fast,2,Bug,Grass,50,20
Venonat,48,1,Normal,Insect Pokémon,2,Bug,Poison,1,30,305,60,55,50,40,55,45,190,70,Medium Fast,1,Bug,,50,20
Venomoth,49,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,450,70,65,60,90,75,90,75,70,Medium Fast,1,Bug,,50,20
Diglett,50,1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,265,10,55,25,35,45,95,255,70,Medium Fast,1,Field,,50,20
Alolan Diglett,50,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1,265,10,55,30,35,45,90,255,70,Medium Fast,1,Field,,50,20
Dugtrio,51,1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,425,35,100,50,50,70,120,50,70,Medium Fast,1,Field,,50,20
Alolan Dugtrio,51,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,425,35,100,60,50,70,110,50,70,Medium Fast,1,Field,,50,20
Meowth,52,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,290,40,45,35,40,40,90,255,70,Medium Fast,1,Field,,50,20
Alolan Meowth,52,1,Normal,Scratch Cat Pokémon,1,Dark,,0.4,4.2,290,40,35,35,50,40,90,255,70,Medium Fast,1,Field,,50,20
Galarian Meowth,52,1,Normal,Scratch Cat Pokémon,1,Steel,,0.4,7.5,290,50,65,55,40,40,40,,,Medium Fast,1,Field,,,20
Persian,53,1,Normal,Classy Cat Pokémon,1,Normal,,1,32,440,65,70,60,65,65,115,90,70,Medium Fast,1,Field,,50,20
Alolan Persian,53,1,Normal,Classy Cat Pokémon,1,Dark,,1.1,33,440,65,60,60,75,65,115,90,70,Medium Fast,1,Field,,50,20
Psyduck,54,1,Normal,Duck Pokémon,1,Water,,0.8,19.6,320,50,52,48,65,50,55,190,70,Medium Fast,2,Field,Water 1,50,20
Golduck,55,1,Normal,Duck Pokémon,1,Water,,1.7,76.6,500,80,82,78,95,80,85,75,70,Medium Fast,2,Field,Water 1,50,20
Mankey,56,1,Normal,Pig Monkey Pokémon,1,Fighting,,0.5,28,305,40,80,35,35,45,70,190,70,Medium Fast,1,Field,,50,20
Primeape,57,1,Normal,Pig Monkey Pokémon,1,Fighting,,1,32,455,65,105,60,60,70,95,75,70,Medium Fast,1,Field,,50,20
Growlithe,58,1,Normal,Puppy Pokémon,1,Fire,,0.7,19,350,55,70,45,70,50,60,190,70,Slow,1,Field,,75,20
Arcanine,59,1,Normal,Legendary Pokémon,1,Fire,,1.9,155,555,90,110,80,100,80,95,75,70,Slow,1,Field,,75,20
Poliwag,60,1,Normal,Tadpole Pokémon,1,Water,,0.6,12.4,300,40,50,40,40,40,90,255,70,Medium Slow,1,Water 1,,50,20
Poliwhirl,61,1,Normal,Tadpole Pokémon,1,Water,,1,20,385,65,65,65,50,50,90,120,70,Medium Slow,1,Water 1,,50,20
Poliwrath,62,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54,510,90,95,95,70,90,70,45,70,Medium Slow,1,Water 1,,50,20
Abra,63,1,Normal,Psi Pokémon,1,Psychic,,0.9,19.5,310,25,20,15,105,55,90,200,70,Medium Slow,1,Human-Like,,75,20
Kadabra,64,1,Normal,Psi Pokémon,1,Psychic,,1.3,56.5,400,40,35,30,120,70,105,100,70,Medium Slow,1,Human-Like,,75,20
Alakazam,65,1,Normal,Psi Pokémon,1,Psychic,,1.5,48,500,55,50,45,135,95,120,50,70,Medium Slow,1,Human-Like,,75,20
Mega Alakazam,65,1,Normal,Psi Pokémon,1,Psychic,,1.2,48,600,55,50,65,175,105,150,50,70,Medium Slow,1,Human-Like,,75,20
Machop,66,1,Normal,Superpower Pokémon,1,Fighting,,0.8,19.5,305,70,80,50,35,35,35,180,70,Medium Slow,1,Human-Like,,75,20
Machoke,67,1,Normal,Superpower Pokémon,1,Fighting,,1.5,70.5,405,80,100,70,50,60,45,90,70,Medium Slow,1,Human-Like,,75,20
Machamp,68,1,Normal,Superpower Pokémon,1,Fighting,,1.6,130,505,90,130,80,65,85,55,45,70,Medium Slow,1,Human-Like,,75,20
Bellsprout,69,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4,300,50,75,35,70,30,40,255,70,Medium Slow,1,Grass,,50,20
Weepinbell,70,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1,6.4,390,65,90,50,85,45,55,120,70,Medium Slow,1,Grass,,50,20
Victreebel,71,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,490,80,105,65,100,70,70,45,70,Medium Slow,1,Grass,,50,20
Tentacool,72,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,335,40,40,35,50,100,70,190,70,Slow,1,Water 3,,50,20
Tentacruel,73,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55,515,80,70,65,80,120,100,60,70,Slow,1,Water 3,,50,20
Geodude,74,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20,300,40,80,100,30,30,20,255,70,Medium Slow,1,Mineral,,50,15
Alolan Geodude,74,1,Normal,Rock Pokémon,2,Rock,Electric,0.4,20.3,300,40,80,100,30,30,20,255,70,Medium Slow,1,Mineral,,50,15
Graveler,75,1,Normal,Rock Pokémon,2,Rock,Ground,1,105,390,55,95,115,45,45,35,120,70,Medium Slow,1,Mineral,,50,15
Alolan Graveler,75,1,Normal,Rock Pokémon,2,Rock,Electric,1,110,390,55,95,115,45,45,35,120,70,Medium Slow,1,Mineral,,50,15
Golem,76,1,Normal,Megaton Pokémon,2,Rock,Ground,1.4,300,495,80,120,130,55,65,45,45,70,Medium Slow,1,Mineral,,50,15
Alolan Golem,76,1,Normal,Megaton Pokémon,2,Rock,Electric,1.7,316,495,80,120,130,55,65,45,45,70,Medium Slow,1,Mineral,,50,15
Ponyta,77,1,Normal,Fire Horse Pokémon,1,Fire,,1,30,410,50,85,55,65,65,90,190,70,Medium Fast,1,Field,,50,20
Galarian Ponyta,77,1,Normal,Unique Horn Pokémon,1,Psychic,,0.8,24,410,50,85,55,65,65,90,,,Medium Fast,1,Field,,,20
Rapidash,78,1,Normal,Fire Horse Pokémon,1,Fire,,1.7,95,500,65,100,70,80,80,105,60,70,Medium Fast,1,Field,,50,20
Galarian Rapidash,78,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80,500,65,100,70,80,80,105,,,Medium Fast,1,Field,,,20
Slowpoke,79,1,Normal,Dopey Pokémon,2,Water,Psychic,1.2,36,315,90,65,65,40,40,15,190,70,Medium Fast,2,Monster,Water 1,50,20
Galarian Slowpoke,79,8,Normal,Dopey Pokémon,1,Psychic,,1.2,36,315,90,65,65,40,40,15,190,70,Medium Fast,2,Monster,Water 1,50,20
Slowbro,80,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,490,95,75,110,100,80,30,75,70,Medium Fast,2,Monster,Water 1,50,20
Mega Slowbro,80,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,2,120,590,95,75,180,130,80,30,75,70,Medium Fast,2,Monster,Water 1,50,20
Galarian Slowbro,80,8,Normal,Hermit Crab Pokémon,2,Poison,Psychic,1.6,70.5,490,95,100,95,100,70,30,75,70,Medium Fast,2,Monster,Water 1,50,20
Magnemite,81,1,Normal,Magnet Pokémon,2,Electric,Steel,0.3,6,325,25,35,70,95,55,45,190,70,Medium Fast,1,Mineral,,,20
Magneton,82,1,Normal,Magnet Pokémon,2,Electric,Steel,1,60,465,50,60,95,120,70,70,60,70,Medium Fast,1,Mineral,,,20
Farfetch'd,83,1,Normal,Wild Duck Pokémon,2,Normal,Flying,0.8,15,377,52,90,55,58,62,60,45,70,Medium Fast,2,Field,Flying,50,20
Galarian Farfetch'd,83,1,Normal,Wild Duck Pokémon,1,Fighting,,0.8,42,377,52,95,55,58,62,55,,,Medium Fast,2,Field,Flying,,20
Doduo,84,1,Normal,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,310,35,85,45,35,35,75,190,70,Medium Fast,1,Flying,,50,20
Dodrio,85,1,Normal,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,470,60,110,70,60,60,110,45,70,Medium Fast,1,Flying,,50,20
Seel,86,1,Normal,Sea Lion Pokémon,1,Water,,1.1,90,325,65,45,55,45,70,45,190,70,Medium Fast,2,Field,Water 1,50,20
Dewgong,87,1,Normal,Sea Lion Pokémon,2,Water,Ice,1.7,120,475,90,70,80,70,95,70,75,70,Medium Fast,2,Field,Water 1,50,20
Grimer,88,1,Normal,Sludge Pokémon,1,Poison,,0.9,30,325,80,80,50,40,50,25,190,70,Medium Fast,1,Amorphous,,50,20
Alolan Grimer,88,1,Normal,Sludge Pokémon,2,Poison,Dark,0.7,42,325,80,80,50,40,50,25,190,70,Medium Fast,1,Amorphous,,50,20
Muk,89,1,Normal,Sludge Pokémon,1,Poison,,1.2,30,500,105,105,75,65,100,50,75,70,Medium Fast,1,Amorphous,,50,20
Alolan Muk,89,1,Normal,Sludge Pokémon,2,Poison,Dark,1,52,500,105,105,75,65,100,50,75,70,Medium Fast,1,Amorphous,,50,20
Shellder,90,1,Normal,Bivalve Pokémon,1,Water,,0.3,4,305,30,65,100,45,25,40,190,70,Slow,1,Water 3,,50,20
Cloyster,91,1,Normal,Bivalve Pokémon,2,Water,Ice,1.5,132.5,525,50,95,180,85,45,70,60,70,Slow,1,Water 3,,50,20
Gastly,92,1,Normal,Gas Pokémon,2,Ghost,Poison,1.3,0.1,310,30,35,30,100,35,80,190,70,Medium Slow,1,Amorphous,,50,20
Haunter,93,1,Normal,Gas Pokémon,2,Ghost,Poison,1.6,0.1,405,45,50,45,115,55,95,90,70,Medium Slow,1,Amorphous,,50,20
Gengar,94,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,500,60,65,60,130,75,110,45,70,Medium Slow,1,Amorphous,,50,20
Mega Gengar,94,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,600,60,65,80,170,95,130,45,70,Medium Slow,1,Amorphous,,50,20
Onix,95,1,Normal,Rock Snake Pokémon,2,Rock,Ground,8.8,210,385,35,45,160,30,45,70,45,70,Medium Fast,1,Mineral,,50,25
Drowzee,96,1,Normal,Hypnosis Pokémon,1,Psychic,,1,32.4,328,60,48,45,43,90,42,190,70,Medium Fast,1,Human-Like,,50,20
Hypno,97,1,Normal,Hypnosis Pokémon,1,Psychic,,1.6,75.6,483,85,73,70,73,115,67,75,70,Medium Fast,1,Human-Like,,50,20
Krabby,98,1,Normal,River Crab Pokémon,1,Water,,0.4,6.5,325,30,105,90,25,25,50,225,70,Medium Fast,1,Water 3,,50,20
Kingler,99,1,Normal,Pincer Pokémon,1,Water,,1.3,60,475,55,130,115,50,50,75,60,70,Medium Fast,1,Water 3,,50,20
Voltorb,100,1,Normal,Ball Pokémon,1,Electric,,0.5,10.4,330,40,30,50,55,55,100,190,70,Medium Fast,1,Mineral,,,20
Electrode,101,1,Normal,Ball Pokémon,1,Electric,,1.2,66.6,490,60,50,70,80,80,150,60,70,Medium Fast,1,Mineral,,,20
Exeggcute,102,1,Normal,Egg Pokémon,2,Grass,Psychic,0.4,2.5,325,60,40,80,60,45,40,90,70,Slow,1,Grass,,50,20
Exeggutor,103,1,Normal,Coconut Pokémon,2,Grass,Psychic,2,120,530,95,95,85,125,75,55,45,70,Slow,1,Grass,,50,20
Alolan Exeggutor,103,1,Normal,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,530,95,105,85,125,75,45,45,70,Slow,1,Grass,,50,20
Cubone,104,1,Normal,Lonely Pokémon,1,Ground,,0.4,6.5,320,50,50,95,40,50,35,190,70,Medium Fast,1,Monster,,50,20
Marowak,105,1,Normal,Bone Keeper Pokémon,1,Ground,,1,45,425,60,80,110,50,80,45,75,70,Medium Fast,1,Monster,,50,20
Alolan Marowak,105,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,1,34,425,60,80,110,50,80,45,75,70,Medium Fast,1,Monster,,50,20
Hitmonlee,106,1,Normal,Kicking Pokémon,1,Fighting,,1.5,49.8,455,50,120,53,35,110,87,45,70,Medium Fast,1,Human-Like,,100,25
Hitmonchan,107,1,Normal,Punching Pokémon,1,Fighting,,1.4,50.2,455,50,105,79,35,110,76,45,70,Medium Fast,1,Human-Like,,100,25
Lickitung,108,1,Normal,Licking Pokémon,1,Normal,,1.2,65.5,385,90,55,75,60,75,30,45,70,Medium Fast,1,Monster,,50,20
Koffing,109,1,Normal,Poison Gas Pokémon,1,Poison,,0.6,1,340,40,65,95,60,45,35,190,70,Medium Fast,1,Amorphous,,50,20
Weezing,110,1,Normal,Poison Gas Pokémon,1,Poison,,1.2,9.5,490,65,90,120,85,70,60,60,70,Medium Fast,1,Amorphous,,50,20
Galarian Weezing,110,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,3,16,490,65,90,120,85,70,60,,,Medium Fast,1,Amorphous,,,20
Rhyhorn,111,1,Normal,Spikes Pokémon,2,Ground,Rock,1,115,345,80,85,95,30,30,25,120,70,Slow,2,Field,Monster,50,20
Rhydon,112,1,Normal,Drill Pokémon,2,Ground,Rock,1.9,120,485,105,130,120,45,45,40,60,70,Slow,2,Field,Monster,50,20
Chansey,113,1,Normal,Egg Pokémon,1,Normal,,1.1,34.6,450,250,5,5,35,105,50,30,140,Fast,1,Fairy,,0,40
Tangela,114,1,Normal,Vine Pokémon,1,Grass,,1,35,435,65,55,115,100,40,60,45,70,Medium Fast,1,Grass,,50,20
Kangaskhan,115,1,Normal,Parent Pokémon,1,Normal,,2.2,80,490,105,95,80,40,80,90,45,70,Medium Fast,1,Monster,,0,20
Mega Kangaskhan,115,1,Normal,Parent Pokémon,1,Normal,,2.2,100,590,105,125,100,60,100,100,45,70,Medium Fast,1,Monster,,0,20
Horsea,116,1,Normal,Dragon Pokémon,1,Water,,0.4,8,295,30,40,70,70,25,60,225,70,Medium Fast,2,Dragon,Water 1,50,20
Seadra,117,1,Normal,Dragon Pokémon,1,Water,,1.2,25,440,55,65,95,95,45,85,75,70,Medium Fast,2,Dragon,Water 1,50,20
Goldeen,118,1,Normal,Goldfish Pokémon,1,Water,,0.6,15,320,45,67,60,35,50,63,225,70,Medium Fast,1,Water 2,,50,20
Seaking,119,1,Normal,Goldfish Pokémon,1,Water,,1.3,39,450,80,92,65,65,80,68,60,70,Medium Fast,1,Water 2,,50,20
Staryu,120,1,Normal,Star Shape Pokémon,1,Water,,0.8,34.5,340,30,45,55,70,55,85,225,70,Slow,1,Water 3,,,20
Starmie,121,1,Normal,Mysterious Pokémon,2,Water,Psychic,1.1,80,520,60,75,85,100,85,115,60,70,Slow,1,Water 3,,,20
Mr. Mime,122,1,Normal,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,460,40,45,65,100,120,90,45,70,Medium Fast,1,Human-Like,,50,25
Galarian Mr. Mime,122,1,Normal,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,460,50,65,65,90,90,100,,,Medium Fast,1,Human-Like,,,25
Scyther,123,1,Normal,Mantis Pokémon,2,Bug,Flying,1.5,56,500,70,110,80,55,80,105,45,70,Medium Fast,1,Bug,,50,25
Jynx,124,1,Normal,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,455,65,50,35,115,95,95,45,70,Medium Fast,1,Human-Like,,0,25
Electabuzz,125,1,Normal,Electric Pokémon,1,Electric,,1.1,30,490,65,83,57,95,85,105,45,70,Medium Fast,1,Human-Like,,75,25
Magmar,126,1,Normal,Spitfire Pokémon,1,Fire,,1.3,44.5,495,65,95,57,100,85,93,45,70,Medium Fast,1,Human-Like,,75,25
Pinsir,127,1,Normal,Stag Beetle Pokémon,1,Bug,,1.5,55,500,65,125,100,55,70,85,45,70,Slow,1,Bug,,50,25
Mega Pinsir,127,1,Normal,Stag Beetle Pokémon,2,Bug,Flying,1.7,59,600,65,155,120,65,90,105,45,70,Slow,1,Bug,,50,25
Tauros,128,1,Normal,Wild Bull Pokémon,1,Normal,,1.4,88.4,490,75,100,95,40,70,110,45,70,Slow,1,Field,,100,20
Magikarp,129,1,Normal,Fish Pokémon,1,Water,,0.9,10,200,20,10,55,15,20,80,255,70,Slow,2,Dragon,Water 2,50,5
Gyarados,130,1,Normal,Atrocious Pokémon,2,Water,Flying,6.5,235,540,95,125,79,60,100,81,45,70,Slow,2,Dragon,Water 2,50,5
Mega Gyarados,130,1,Normal,Atrocious Pokémon,2,Water,Dark,6.5,305,640,95,155,109,70,130,81,45,70,Slow,2,Dragon,Water 2,50,5
Lapras,131,1,Normal,Transport Pokémon,2,Water,Ice,2.5,220,535,130,85,80,85,95,60,45,70,Slow,2,Monster,Water 1,50,40
Ditto,132,1,Normal,Transform Pokémon,1,Normal,,0.3,4,288,48,48,48,48,48,48,35,70,Medium Fast,1,Ditto,,,20
Eevee,133,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,325,55,55,50,45,65,55,45,70,Medium Fast,1,Field,,87.5,35
Partner Eevee,133,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,435,65,75,70,65,85,75,45,70,Medium Fast,0,,,87.5,35
Vaporeon,134,1,Normal,Bubble Jet Pokémon,1,Water,,1,29,525,130,65,60,110,95,65,45,70,Medium Fast,1,Field,,87.5,35
Jolteon,135,1,Normal,Lightning Pokémon,1,Electric,,0.8,24.5,525,65,65,60,110,95,130,45,70,Medium Fast,1,Field,,87.5,35
Flareon,136,1,Normal,Flame Pokémon,1,Fire,,0.9,25,525,65,130,60,95,110,65,45,70,Medium Fast,1,Field,,87.5,35
Porygon,137,1,Normal,Virtual Pokémon,1,Normal,,0.8,36.5,395,65,60,70,85,75,40,45,70,Medium Fast,1,Mineral,,,20
Omanyte,138,1,Normal,Spiral Pokémon,2,Rock,Water,0.4,7.5,355,35,40,100,90,55,35,45,70,Medium Fast,2,Water 1,Water 3,87.5,30
